v.x,v.y,v.z,n.x,n.y,n.z
-0.451981053,-0.035112464,0.891336212,-0.451981053,-0.035112464,0.891336212
-0.482743042,-0.126482655,0.866580229,-0.482743042,-0.126482655,0.866580229
-0.527753465,-0.151925053,0.83570034,-0.527753465,-0.151925053,0.83570034
-0.482743042,-0.126482655,0.866580229,-0.482743042,-0.126482655,0.866580229
-0.499307938,-0.06100606,0.864274172,-0.499307938,-0.06100606,0.864274172
-0.499307938,-0.06100606,0.864274172,-0.499307938,-0.06100606,0.864274172
-0.482743042,-0.126482655,0.866580229,-0.482743042,-0.126482655,0.866580229
-0.451981053,-0.035112464,0.891336212,-0.451981053,-0.035112464,0.891336212
-0.435981795,-0.100581527,0.894317187,-0.435981795,-0.100581527,0.894317187
-0.482743042,-0.126482655,0.866580229,-0.482743042,-0.126482655,0.866580229
-0.463749229,-0.191801491,0.864955976,-0.463749229,-0.191801491,0.864955976
-0.486900414,-0.281112226,0.826984826,-0.486900414,-0.281112226,0.826984826
-0.463749229,-0.191801491,0.864955976,-0.463749229,-0.191801491,0.864955976
-0.50850002,-0.217019291,0.833264878,-0.50850002,-0.217019291,0.833264878
-0.527753465,-0.151925053,0.83570034,-0.527753465,-0.151925053,0.83570034
-0.50850002,-0.217019291,0.833264878,-0.50850002,-0.217019291,0.833264878
-0.482743042,-0.126482655,0.866580229,-0.482743042,-0.126482655,0.866580229
-0.482743042,-0.126482655,0.866580229,-0.482743042,-0.126482655,0.866580229
-0.50850002,-0.217019291,0.833264878,-0.50850002,-0.217019291,0.833264878
-0.463749229,-0.191801491,0.864955976,-0.463749229,-0.191801491,0.864955976
-0.568753367,-0.328370075,0.754117167,-0.568753367,-0.328370075,0.754117167
-0.550978522,-0.241341223,0.798859864,-0.550978522,-0.241341223,0.798859864
-0.594287903,-0.264047705,0.75967144,-0.594287903,-0.264047705,0.75967144
-0.616957835,-0.198452565,0.761563923,-0.616957835,-0.198452565,0.761563923
-0.594287903,-0.264047705,0.75967144,-0.594287903,-0.264047705,0.75967144
-0.573476346,-0.175531836,0.800195886,-0.573476346,-0.175531836,0.800195886
-0.527753465,-0.151925053,0.83570034,-0.527753465,-0.151925053,0.83570034
-0.573476346,-0.175531836,0.800195886,-0.573476346,-0.175531836,0.800195886
-0.550978522,-0.241341223,0.798859864,-0.550978522,-0.241341223,0.798859864
-0.550978522,-0.241341223,0.798859864,-0.550978522,-0.241341223,0.798859864
-0.573476346,-0.175531836,0.800195886,-0.573476346,-0.175531836,0.800195886
-0.594287903,-0.264047705,0.75967144,-0.594287903,-0.264047705,0.75967144
-0.653281124,-0.064713319,0.754344722,-0.653281124,-0.064713319,0.754344722
-0.636653889,-0.131900838,0.759785493,-0.636653889,-0.131900838,0.759785493
-0.609771117,-0.041050604,0.79151376,-0.609771117,-0.041050604,0.79151376
-0.563922893,-0.017230477,0.825647674,-0.563922893,-0.017230477,0.825647674
-0.609771117,-0.041050604,0.79151376,-0.609771117,-0.041050604,0.79151376
-0.593396978,-0.108381535,0.797579758,-0.593396978,-0.108381535,0.797579758
-0.616957835,-0.198452565,0.761563923,-0.616957835,-0.198452565,0.761563923
-0.593396978,-0.108381535,0.797579758,-0.593396978,-0.108381535,0.797579758
-0.636653889,-0.131900838,0.759785493,-0.636653889,-0.131900838,0.759785493
-0.636653889,-0.131900838,0.759785493,-0.636653889,-0.131900838,0.759785493
-0.593396978,-0.108381535,0.797579758,-0.593396978,-0.108381535,0.797579758
-0.609771117,-0.041050604,0.79151376,-0.609771117,-0.041050604,0.79151376
